174     | 154.53.224.166   | 154.48.0.0/12       | US | arin     |            | COGENT-174 - Cogent Communications, US
6453    | 63.243.224.211   | 63.243.128.0/17     | US | arin     | 2001-08-17 | AS6453 - TATA COMMUNICATIONS (AMERICA) INC, US
6453    | 66.198.178.124   | 66.198.128.0/18     | US | arin     | 2001-11-01 | AS6453 - TATA COMMUNICATIONS (AMERICA) INC, US
6453    | 66.198.24.243    | 66.198.0.0/19       | US | arin     | 2001-11-01 | AS6453 - TATA COMMUNICATIONS (AMERICA) INC, US
6461    | 216.200.199.56   | 216.200.0.0/16      | US | arin     |            | ZAYO-6461 - Zayo Bandwidth Inc, US
7162    | 2804:49c:3103:401:ffff:ffff:ffff:1       | 2804:49c::/32       | BR | lacnic   | 2011-05-03 | Universo Online S.A., BR
7643    | 123.30.128.195   | 123.30.128.0/24     | VN | apnic    | 2007-01-11 | VNPT-AS-VN Vietnam Posts and Telecommunications (VNPT), VN
7643    | 123.30.175.29    | 123.30.174.0/23     | VN | apnic    | 2007-01-11 | VNPT-AS-VN Vietnam Posts and Telecommunications (VNPT), VN
7754    | 161.69.25.181    | 161.69.24.0/21      | US | arin     |            | MCAFEE - McAfee, Inc., US
7941    | 207.241.224.2    | 207.241.224.0/20    | US | arin     | 2004-05-20 | INTERNET-ARCHIVE - Internet Archive, US
8068    | 204.79.197.200   | 204.79.197.0/24     | US | arin     |            | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8068    | 204.79.197.203   | 204.79.197.0/24     | US | arin     |            | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 104.40.50.126    | 104.40.0.0/13       | US | arin     | 2014-05-07 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 131.253.61.82    | 131.253.61.0/24     | US | arin     | 2011-06-22 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 168.62.24.104    | 168.62.0.0/15       | US | arin     | 2011-06-22 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 2a01:111:f100:3002::8987:320c            | 2a01:111::/32       | EU | ripencc  | 2006-06-01 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8137    | 68.71.212.186    | 68.71.212.0/23      | US | arin     | 2009-04-07 | DISNEYONLINE-AS - Disney Online, US
